00:38:04.748 - ---------- run=0, count=261 ----------
00:38:07.030 - ---------- run=1, count=104 ----------
00:38:09.285 - ---------- run=2, count=102 ----------
00:38:11.491 - ---------- run=3, count=101 ----------
00:38:14.178 - ---------- run=4, count=122 ----------
00:38:16.431 - ---------- run=5, count=102 ----------
00:38:18.921 - ---------- run=6, count=113 ----------
00:38:21.637 - ---------- run=7, count=123 ----------
00:38:23.751 - ---------- run=8, count=96 ----------
00:38:26.291 - ---------- run=9, count=116 ----------
00:38:28.946 - ---------- run=10, count=120 ----------
00:38:31.540 - ---------- run=11, count=118 ----------
00:38:34.053 - ---------- run=12, count=114 ----------
00:38:36.134 - ---------- run=13, count=95 ----------
00:38:38.825 - ---------- run=14, count=122 ----------
00:38:41.485 - ---------- run=15, count=121 ----------
00:38:43.830 - ---------- run=16, count=106 ----------
00:38:48.357 - ---------- run=17, count=206 ----------
00:38:51.363 - ---------- run=18, count=137 ----------
00:38:54.368 - ---------- run=19, count=136 ----------
00:38:57.373 - ---------- run=20, count=136 ----------
00:39:00.377 - ---------- run=21, count=137 ----------
00:39:03.382 - ---------- run=22, count=137 ----------
00:39:06.388 - ---------- run=23, count=136 ----------
00:39:09.394 - ---------- run=24, count=137 ----------
00:39:12.398 - ---------- run=25, count=136 ----------
00:39:15.404 - ---------- run=26, count=137 ----------
00:39:18.408 - ---------- run=27, count=136 ----------
00:39:21.422 - ---------- run=28, count=137 ----------
00:39:24.449 - ---------- run=29, count=138 ----------
00:39:27.425 - ---------- run=30, count=135 ----------
00:39:30.435 - ---------- run=31, count=137 ----------
00:39:33.442 - ---------- run=32, count=136 ----------
00:39:36.460 - ---------- run=33, count=138 ----------
00:39:39.453 - ---------- run=34, count=136 ----------
00:39:42.447 - ---------- run=35, count=136 ----------
00:39:44.525 - ---------- run=36, count=94 ----------
00:39:47.195 - ---------- run=37, count=121 ----------
00:39:49.345 - ---------- run=38, count=98 ----------
00:39:51.552 - ---------- run=39, count=100 ----------
00:39:54.128 - ---------- run=40, count=117 ----------
00:39:56.419 - ---------- run=41, count=104 ----------
00:39:58.832 - ---------- run=42, count=110 ----------
00:40:01.366 - ---------- run=43, count=115 ----------
00:40:03.703 - ---------- run=44, count=106 ----------
00:40:06.056 - ---------- run=45, count=107 ----------
00:40:08.686 - ---------- run=46, count=120 ----------
00:40:11.401 - ---------- run=47, count=123 ----------
00:40:13.754 - ---------- run=48, count=107 ----------
00:40:15.922 - ---------- run=49, count=99 ----------
00:40:18.912 - ---------- run=50, count=136 ----------
00:40:21.701 - ---------- run=51, count=126 ----------
00:40:24.138 - ---------- run=52, count=111 ----------
00:40:26.814 - ---------- run=53, count=121 ----------
00:40:28.790 - ---------- run=54, count=90 ----------
00:40:31.549 - ---------- run=55, count=126 ----------
00:40:34.166 - ---------- run=56, count=118 ----------
00:40:36.751 - ---------- run=57, count=118 ----------
00:40:38.879 - ---------- run=58, count=96 ----------
00:40:41.155 - ---------- run=59, count=103 ----------
00:40:43.685 - ---------- run=60, count=115 ----------
00:40:45.823 - ---------- run=61, count=97 ----------
00:40:48.089 - ---------- run=62, count=103 ----------
00:40:50.555 - ---------- run=63, count=112 ----------
00:40:52.712 - ---------- run=64, count=99 ----------
00:40:54.835 - ---------- run=65, count=97 ----------
00:40:57.381 - ---------- run=66, count=116 ----------
00:40:59.613 - ---------- run=67, count=102 ----------
00:41:01.616 - ---------- run=68, count=93 ----------
00:41:03.856 - ---------- run=69, count=105 ----------
00:41:06.085 - ---------- run=70, count=103 ----------
00:41:08.116 - ---------- run=71, count=95 ----------
00:41:10.469 - ---------- run=72, count=108 ----------
00:41:12.872 - ---------- run=73, count=110 ----------
00:41:15.300 - ---------- run=74, count=112 ----------
00:41:17.796 - ---------- run=75, count=114 ----------
00:41:19.814 - ---------- run=76, count=93 ----------
00:41:21.977 - ---------- run=77, count=99 ----------
00:41:24.070 - ---------- run=78, count=95 ----------
00:41:26.559 - ---------- run=79, count=113 ----------
00:41:29.007 - ---------- run=80, count=111 ----------
00:41:31.614 - ---------- run=81, count=118 ----------
00:41:33.843 - ---------- run=82, count=101 ----------
00:41:36.166 - ---------- run=83, count=106 ----------
00:41:38.753 - ---------- run=84, count=117 ----------
00:41:41.130 - ---------- run=85, count=108 ----------
00:41:43.809 - ---------- run=86, count=122 ----------
