14:39:08.382 - ---------- run=0, count=235 ----------
14:39:10.830 - ---------- run=1, count=113 ----------
14:39:23.989 - ---------- run=2, count=605 ----------
14:39:26.226 - ---------- run=3, count=101 ----------
14:39:28.526 - ---------- run=4, count=104 ----------
14:39:43.137 - ---------- run=5, count=664 ----------
14:39:45.427 - ---------- run=6, count=104 ----------
14:39:47.874 - ---------- run=7, count=111 ----------
14:39:50.439 - ---------- run=8, count=117 ----------
14:39:52.628 - ---------- run=9, count=99 ----------
14:39:54.730 - ---------- run=10, count=95 ----------
14:39:57.018 - ---------- run=11, count=104 ----------
14:39:59.413 - ---------- run=12, count=109 ----------
14:40:02.032 - ---------- run=13, count=119 ----------
14:40:04.521 - ---------- run=14, count=113 ----------
14:40:06.812 - ---------- run=15, count=104 ----------
14:40:09.018 - ---------- run=16, count=100 ----------
14:40:11.403 - ---------- run=17, count=109 ----------
14:40:13.659 - ---------- run=18, count=102 ----------
14:40:15.990 - ---------- run=19, count=106 ----------
14:40:18.316 - ---------- run=20, count=105 ----------
14:40:20.578 - ---------- run=21, count=103 ----------
14:40:22.989 - ---------- run=22, count=110 ----------
14:40:25.203 - ---------- run=23, count=100 ----------
14:40:27.378 - ---------- run=24, count=99 ----------
14:40:30.187 - ---------- run=25, count=128 ----------
14:40:32.680 - ---------- run=26, count=113 ----------
14:40:35.452 - ---------- run=27, count=126 ----------
14:40:37.955 - ---------- run=28, count=113 ----------
14:40:40.221 - ---------- run=29, count=103 ----------
14:40:42.692 - ---------- run=30, count=112 ----------
14:40:44.899 - ---------- run=31, count=100 ----------
14:40:47.303 - ---------- run=32, count=109 ----------
14:40:49.656 - ---------- run=33, count=106 ----------
14:40:52.042 - ---------- run=34, count=109 ----------
14:40:54.556 - ---------- run=35, count=114 ----------
14:41:06.742 - ---------- run=36, count=553 ----------
14:41:08.982 - ---------- run=37, count=102 ----------
14:41:11.793 - ---------- run=38, count=128 ----------
14:41:26.048 - ---------- run=39, count=648 ----------
14:41:28.327 - ---------- run=40, count=104 ----------
14:41:30.870 - ---------- run=41, count=115 ----------
14:41:33.532 - ---------- run=42, count=121 ----------
14:41:36.028 - ---------- run=43, count=113 ----------
14:41:38.096 - ---------- run=44, count=94 ----------
14:41:40.692 - ---------- run=45, count=118 ----------
14:41:42.967 - ---------- run=46, count=104 ----------
14:41:45.191 - ---------- run=47, count=101 ----------
14:41:47.786 - ---------- run=48, count=117 ----------
14:41:50.160 - ---------- run=49, count=108 ----------
14:41:52.400 - ---------- run=50, count=102 ----------
14:41:54.703 - ---------- run=51, count=105 ----------
14:41:57.261 - ---------- run=52, count=116 ----------
14:41:59.532 - ---------- run=53, count=103 ----------
14:42:01.673 - ---------- run=54, count=97 ----------
14:42:04.305 - ---------- run=55, count=120 ----------
14:42:06.477 - ---------- run=56, count=98 ----------
14:42:09.071 - ---------- run=57, count=118 ----------
14:42:11.502 - ---------- run=58, count=110 ----------
14:42:13.554 - ---------- run=59, count=94 ----------
14:42:15.804 - ---------- run=60, count=102 ----------
14:42:18.321 - ---------- run=61, count=114 ----------
14:42:20.542 - ---------- run=62, count=101 ----------
14:42:22.555 - ---------- run=63, count=91 ----------
14:42:24.748 - ---------- run=64, count=99 ----------
14:42:26.877 - ---------- run=65, count=97 ----------
14:42:29.040 - ---------- run=66, count=98 ----------
14:42:31.266 - ---------- run=67, count=101 ----------
14:42:33.864 - ---------- run=68, count=118 ----------
14:42:36.484 - ---------- run=69, count=119 ----------
14:42:38.468 - ---------- run=70, count=90 ----------
14:42:40.934 - ---------- run=71, count=112 ----------
14:42:43.655 - ---------- run=72, count=124 ----------
14:42:46.062 - ---------- run=73, count=109 ----------
14:42:48.281 - ---------- run=74, count=101 ----------
14:43:01.963 - ---------- run=75, count=622 ----------
14:43:04.007 - ---------- run=76, count=93 ----------
14:43:06.491 - ---------- run=77, count=113 ----------
14:43:08.814 - ---------- run=78, count=105 ----------
14:43:11.096 - ---------- run=79, count=104 ----------
14:43:13.927 - ---------- run=80, count=129 ----------
14:43:15.815 - ---------- run=81, count=86 ----------
14:43:18.449 - ---------- run=82, count=119 ----------
14:43:20.950 - ---------- run=83, count=114 ----------
14:43:23.285 - ---------- run=84, count=106 ----------
14:43:25.596 - ---------- run=85, count=105 ----------
14:43:28.242 - ---------- run=86, count=120 ----------
14:43:30.728 - ---------- run=87, count=113 ----------
14:43:32.821 - ---------- run=88, count=95 ----------
14:43:34.942 - ---------- run=89, count=97 ----------
14:43:37.330 - ---------- run=90, count=108 ----------
14:43:39.936 - ---------- run=91, count=119 ----------
14:43:42.176 - ---------- run=92, count=102 ----------
14:43:44.758 - ---------- run=93, count=117 ----------
14:43:47.223 - ---------- run=94, count=112 ----------
14:43:49.329 - ---------- run=95, count=96 ----------
14:43:51.878 - ---------- run=96, count=115 ----------
14:43:54.310 - ---------- run=97, count=111 ----------
14:43:56.885 - ---------- run=98, count=117 ----------
14:43:59.266 - ---------- run=99, count=108 ----------
14:44:01.210 - ---------- run=100, count=89 ----------
14:44:03.730 - ---------- run=101, count=114 ----------
14:44:05.764 - ---------- run=102, count=93 ----------
14:44:08.534 - ---------- run=103, count=126 ----------
14:44:11.153 - ---------- run=104, count=119 ----------
14:44:13.767 - ---------- run=105, count=119 ----------
14:44:16.353 - ---------- run=106, count=117 ----------
14:44:19.212 - ---------- run=107, count=130 ----------
14:44:31.977 - ---------- run=108, count=581 ----------
14:44:34.708 - ---------- run=109, count=124 ----------
14:44:37.365 - ---------- run=110, count=120 ----------
14:44:39.677 - ---------- run=111, count=105 ----------
14:44:42.028 - ---------- run=112, count=107 ----------
14:44:44.394 - ---------- run=113, count=107 ----------
14:44:46.508 - ---------- run=114, count=96 ----------
14:44:48.601 - ---------- run=115, count=95 ----------
14:44:50.632 - ---------- run=116, count=92 ----------
14:44:52.989 - ---------- run=117, count=107 ----------
14:44:56.065 - ---------- run=118, count=140 ----------
14:44:58.466 - ---------- run=119, count=109 ----------
14:45:01.039 - ---------- run=120, count=117 ----------
14:45:03.227 - ---------- run=121, count=99 ----------
14:45:05.556 - ---------- run=122, count=106 ----------
14:45:08.017 - ---------- run=123, count=112 ----------
14:45:10.458 - ---------- run=124, count=111 ----------
14:45:12.683 - ---------- run=125, count=101 ----------
14:45:24.868 - ---------- run=126, count=555 ----------
14:45:27.214 - ---------- run=127, count=106 ----------
14:45:29.415 - ---------- run=128, count=100 ----------
14:45:32.160 - ---------- run=129, count=125 ----------
14:45:34.262 - ---------- run=130, count=96 ----------
14:45:36.431 - ---------- run=131, count=98 ----------
14:45:38.625 - ---------- run=132, count=100 ----------
14:45:40.487 - ---------- run=133, count=85 ----------
14:45:42.712 - ---------- run=134, count=101 ----------
14:45:45.177 - ---------- run=135, count=112 ----------
14:45:47.425 - ---------- run=136, count=102 ----------
14:46:00.384 - ---------- run=137, count=589 ----------
14:46:12.806 - ---------- run=138, count=565 ----------
14:46:15.276 - ---------- run=139, count=112 ----------
14:46:17.592 - ---------- run=140, count=105 ----------
14:46:19.806 - ---------- run=141, count=101 ----------
14:46:22.183 - ---------- run=142, count=108 ----------
14:46:24.596 - ---------- run=143, count=109 ----------
14:46:27.059 - ---------- run=144, count=112 ----------
14:46:29.328 - ---------- run=145, count=103 ----------
