16:00:29.933 - ---------- run=0, count=287 ----------
16:00:33.290 - ---------- run=1, count=152 ----------
16:00:36.870 - ---------- run=2, count=163 ----------
16:00:40.722 - ---------- run=3, count=175 ----------
16:00:44.016 - ---------- run=4, count=150 ----------
16:00:47.644 - ---------- run=5, count=165 ----------
16:00:51.111 - ---------- run=6, count=157 ----------
16:00:54.557 - ---------- run=7, count=157 ----------
16:00:58.190 - ---------- run=8, count=165 ----------
16:01:01.773 - ---------- run=9, count=163 ----------
16:01:06.324 - ---------- run=10, count=207 ----------
16:01:10.657 - ---------- run=11, count=197 ----------
16:01:14.492 - ---------- run=12, count=176 ----------
16:01:17.934 - ---------- run=13, count=158 ----------
16:01:21.195 - ---------- run=14, count=150 ----------
16:01:24.014 - ---------- run=15, count=128 ----------
16:01:26.979 - ---------- run=16, count=135 ----------
16:01:30.621 - ---------- run=17, count=165 ----------
16:01:34.475 - ---------- run=18, count=175 ----------
16:01:38.779 - ---------- run=19, count=196 ----------
16:01:42.234 - ---------- run=20, count=157 ----------
16:01:42.738 - ---------- run=21, count=23 ----------
16:01:46.346 - ---------- run=22, count=164 ----------
16:01:49.279 - ---------- run=23, count=133 ----------
16:01:52.633 - ---------- run=24, count=152 ----------
16:01:55.993 - ---------- run=25, count=153 ----------
16:01:59.235 - ---------- run=26, count=147 ----------
16:02:02.633 - ---------- run=27, count=154 ----------
16:02:06.264 - ---------- run=28, count=165 ----------
16:02:10.406 - ---------- run=29, count=188 ----------
16:02:14.308 - ---------- run=30, count=178 ----------
16:02:18.272 - ---------- run=31, count=179 ----------
16:02:21.749 - ---------- run=32, count=158 ----------
16:02:25.474 - ---------- run=33, count=170 ----------
16:02:28.835 - ---------- run=34, count=152 ----------
16:02:31.756 - ---------- run=35, count=133 ----------
16:02:34.786 - ---------- run=36, count=137 ----------
16:02:38.484 - ---------- run=37, count=168 ----------
16:02:40.326 - ---------- run=38, count=84 ----------
16:02:43.990 - ---------- run=39, count=166 ----------
16:02:47.583 - ---------- run=40, count=164 ----------
16:02:51.156 - ---------- run=41, count=162 ----------
16:02:54.700 - ---------- run=42, count=161 ----------
16:02:58.780 - ---------- run=43, count=185 ----------
16:03:02.033 - ---------- run=44, count=148 ----------
16:03:05.721 - ---------- run=45, count=167 ----------
16:03:09.448 - ---------- run=46, count=169 ----------
16:03:12.689 - ---------- run=47, count=148 ----------
16:03:16.386 - ---------- run=48, count=168 ----------
16:03:19.743 - ---------- run=49, count=152 ----------
16:03:22.828 - ---------- run=50, count=141 ----------
16:03:26.375 - ---------- run=51, count=161 ----------
16:03:30.021 - ---------- run=52, count=165 ----------
16:03:33.478 - ---------- run=53, count=157 ----------
16:03:37.187 - ---------- run=54, count=169 ----------
16:03:40.457 - ---------- run=55, count=148 ----------
16:03:43.802 - ---------- run=56, count=152 ----------
16:03:48.410 - ---------- run=57, count=210 ----------
16:03:52.084 - ---------- run=58, count=167 ----------
16:03:55.937 - ---------- run=59, count=175 ----------
16:03:59.436 - ---------- run=60, count=159 ----------
16:04:02.794 - ---------- run=61, count=152 ----------
16:04:06.431 - ---------- run=62, count=166 ----------
16:04:10.036 - ---------- run=63, count=164 ----------
16:04:13.454 - ---------- run=64, count=155 ----------
16:04:17.318 - ---------- run=65, count=176 ----------
16:04:20.716 - ---------- run=66, count=154 ----------
16:04:24.182 - ---------- run=67, count=158 ----------
16:04:27.583 - ---------- run=68, count=154 ----------
16:04:31.179 - ---------- run=69, count=164 ----------
16:04:34.294 - ---------- run=70, count=141 ----------
16:04:37.739 - ---------- run=71, count=157 ----------
