12:32:58.327 - ---------- run=0, count=236 ----------
12:33:01.046 - ---------- run=1, count=124 ----------
12:33:03.831 - ---------- run=2, count=126 ----------
12:33:06.649 - ---------- run=3, count=128 ----------
12:33:09.116 - ---------- run=4, count=112 ----------
12:33:11.282 - ---------- run=5, count=99 ----------
12:33:13.520 - ---------- run=6, count=101 ----------
12:33:16.319 - ---------- run=7, count=127 ----------
12:33:18.497 - ---------- run=8, count=99 ----------
12:33:20.348 - ---------- run=9, count=84 ----------
12:33:22.873 - ---------- run=10, count=115 ----------
12:33:25.701 - ---------- run=11, count=128 ----------
12:33:27.936 - ---------- run=12, count=102 ----------
12:33:30.090 - ---------- run=13, count=97 ----------
12:33:32.253 - ---------- run=14, count=99 ----------
12:33:34.506 - ---------- run=15, count=102 ----------
12:33:36.867 - ---------- run=16, count=108 ----------
12:33:39.072 - ---------- run=17, count=100 ----------
12:33:41.591 - ---------- run=18, count=114 ----------
12:33:43.475 - ---------- run=19, count=86 ----------
12:33:45.862 - ---------- run=20, count=108 ----------
12:33:48.501 - ---------- run=21, count=120 ----------
12:33:50.889 - ---------- run=22, count=108 ----------
12:33:53.164 - ---------- run=23, count=104 ----------
12:33:55.179 - ---------- run=24, count=91 ----------
12:33:57.524 - ---------- run=25, count=107 ----------
12:33:59.902 - ---------- run=26, count=108 ----------
12:34:02.245 - ---------- run=27, count=106 ----------
12:34:04.557 - ---------- run=28, count=105 ----------
12:34:06.786 - ---------- run=29, count=101 ----------
12:34:09.346 - ---------- run=30, count=116 ----------
12:34:11.350 - ---------- run=31, count=91 ----------
12:34:13.445 - ---------- run=32, count=95 ----------
12:34:15.926 - ---------- run=33, count=113 ----------
12:34:18.046 - ---------- run=34, count=96 ----------
12:34:20.146 - ---------- run=35, count=95 ----------
12:34:22.604 - ---------- run=36, count=112 ----------
12:34:24.876 - ---------- run=37, count=103 ----------
12:34:27.105 - ---------- run=38, count=101 ----------
12:34:29.569 - ---------- run=39, count=112 ----------
12:34:31.967 - ---------- run=40, count=109 ----------
12:34:34.678 - ---------- run=41, count=123 ----------
12:34:37.141 - ---------- run=42, count=112 ----------
12:34:39.417 - ---------- run=43, count=103 ----------
12:34:42.141 - ---------- run=44, count=124 ----------
