15:03:16.134 - ---------- run=0, count=403 ----------
15:03:20.082 - ---------- run=1, count=180 ----------
15:03:23.369 - ---------- run=2, count=149 ----------
15:03:26.812 - ---------- run=3, count=157 ----------
15:03:30.455 - ---------- run=4, count=165 ----------
15:03:33.575 - ---------- run=5, count=142 ----------
15:03:36.785 - ---------- run=6, count=146 ----------
15:03:40.240 - ---------- run=7, count=157 ----------
15:03:44.285 - ---------- run=8, count=184 ----------
15:03:47.905 - ---------- run=9, count=164 ----------
15:03:51.319 - ---------- run=10, count=156 ----------
15:03:55.019 - ---------- run=11, count=168 ----------
15:03:58.626 - ---------- run=12, count=164 ----------
15:04:01.587 - ---------- run=13, count=134 ----------
15:04:04.978 - ---------- run=14, count=154 ----------
15:04:08.407 - ---------- run=15, count=156 ----------
15:04:11.741 - ---------- run=16, count=152 ----------
15:04:15.040 - ---------- run=17, count=150 ----------
15:04:17.842 - ---------- run=18, count=127 ----------
15:04:21.290 - ---------- run=19, count=157 ----------
15:04:25.337 - ---------- run=20, count=184 ----------
15:04:28.822 - ---------- run=21, count=158 ----------
15:04:31.978 - ---------- run=22, count=144 ----------
15:04:35.619 - ---------- run=23, count=166 ----------
15:04:38.700 - ---------- run=24, count=140 ----------
15:04:43.023 - ---------- run=25, count=196 ----------
15:04:46.924 - ---------- run=26, count=177 ----------
15:04:50.150 - ---------- run=27, count=147 ----------
15:04:53.244 - ---------- run=28, count=140 ----------
15:04:56.917 - ---------- run=29, count=167 ----------
15:05:00.201 - ---------- run=30, count=150 ----------
15:05:03.932 - ---------- run=31, count=169 ----------
15:05:07.551 - ---------- run=32, count=165 ----------
15:05:11.039 - ---------- run=33, count=159 ----------
15:05:14.372 - ---------- run=34, count=151 ----------
15:05:17.897 - ---------- run=35, count=160 ----------
15:05:20.911 - ---------- run=36, count=137 ----------
15:05:24.070 - ---------- run=37, count=144 ----------
15:05:27.620 - ---------- run=38, count=161 ----------
15:05:30.941 - ---------- run=39, count=151 ----------
15:05:34.943 - ---------- run=40, count=182 ----------
15:05:38.413 - ---------- run=41, count=158 ----------
15:05:41.738 - ---------- run=42, count=151 ----------
15:05:45.061 - ---------- run=43, count=151 ----------
15:05:48.712 - ---------- run=44, count=167 ----------
15:05:51.937 - ---------- run=45, count=146 ----------
15:05:55.362 - ---------- run=46, count=156 ----------
15:05:59.256 - ---------- run=47, count=177 ----------
15:06:03.109 - ---------- run=48, count=176 ----------
15:06:06.535 - ---------- run=49, count=156 ----------
15:06:10.077 - ---------- run=50, count=161 ----------
15:06:13.711 - ---------- run=51, count=165 ----------
15:06:17.319 - ---------- run=52, count=164 ----------
15:06:20.486 - ---------- run=53, count=144 ----------
15:06:23.964 - ---------- run=54, count=158 ----------
15:06:27.174 - ---------- run=55, count=146 ----------
15:06:30.430 - ---------- run=56, count=148 ----------
15:06:34.033 - ---------- run=57, count=163 ----------
15:06:37.273 - ---------- run=58, count=147 ----------
15:06:40.966 - ---------- run=59, count=168 ----------
15:06:41.661 - ---------- run=60, count=32 ----------
15:06:45.460 - ---------- run=61, count=173 ----------
15:06:48.829 - ---------- run=62, count=153 ----------
15:06:52.250 - ---------- run=63, count=155 ----------
15:06:55.394 - ---------- run=64, count=143 ----------
15:06:58.778 - ---------- run=65, count=154 ----------
15:07:02.134 - ---------- run=66, count=153 ----------
15:07:05.163 - ---------- run=67, count=137 ----------
15:07:09.528 - ---------- run=68, count=199 ----------
15:07:13.202 - ---------- run=69, count=167 ----------
15:07:16.954 - ---------- run=70, count=170 ----------
15:07:20.628 - ---------- run=71, count=168 ----------
15:07:24.088 - ---------- run=72, count=157 ----------
15:07:26.825 - ---------- run=73, count=125 ----------
15:07:30.109 - ---------- run=74, count=150 ----------
15:07:33.837 - ---------- run=75, count=169 ----------
15:07:36.847 - ---------- run=76, count=137 ----------
15:07:40.167 - ---------- run=77, count=151 ----------
15:07:43.837 - ---------- run=78, count=167 ----------
15:07:47.243 - ---------- run=79, count=155 ----------
15:07:50.474 - ---------- run=80, count=147 ----------
15:07:53.748 - ---------- run=81, count=149 ----------
15:07:56.512 - ---------- run=82, count=126 ----------
15:07:59.992 - ---------- run=83, count=159 ----------
15:08:03.282 - ---------- run=84, count=149 ----------
15:08:06.671 - ---------- run=85, count=154 ----------
15:08:10.164 - ---------- run=86, count=159 ----------
15:08:13.568 - ---------- run=87, count=155 ----------
15:08:16.694 - ---------- run=88, count=143 ----------
15:08:20.422 - ---------- run=89, count=169 ----------
15:08:23.350 - ---------- run=90, count=133 ----------
15:08:27.065 - ---------- run=91, count=169 ----------
15:08:30.741 - ---------- run=92, count=168 ----------
15:08:33.882 - ---------- run=93, count=142 ----------
15:08:37.343 - ---------- run=94, count=158 ----------
15:08:40.448 - ---------- run=95, count=141 ----------
15:08:43.611 - ---------- run=96, count=144 ----------
15:08:47.421 - ---------- run=97, count=173 ----------
15:08:50.563 - ---------- run=98, count=143 ----------
15:08:53.830 - ---------- run=99, count=148 ----------
15:08:56.951 - ---------- run=100, count=142 ----------
15:09:00.336 - ---------- run=101, count=154 ----------
15:09:04.044 - ---------- run=102, count=169 ----------
15:09:07.030 - ---------- run=103, count=136 ----------
15:09:09.927 - ---------- run=104, count=131 ----------
15:09:12.909 - ---------- run=105, count=136 ----------
15:09:16.860 - ---------- run=106, count=179 ----------
15:09:20.469 - ---------- run=107, count=164 ----------
15:09:24.090 - ---------- run=108, count=165 ----------
15:09:27.269 - ---------- run=109, count=145 ----------
15:09:30.101 - ---------- run=110, count=128 ----------
15:09:33.862 - ---------- run=111, count=172 ----------
15:09:37.976 - ---------- run=112, count=187 ----------
15:09:41.113 - ---------- run=113, count=143 ----------
15:09:44.215 - ---------- run=114, count=141 ----------
15:09:47.007 - ---------- run=115, count=127 ----------
15:09:50.174 - ---------- run=116, count=144 ----------
15:09:53.334 - ---------- run=117, count=143 ----------
15:09:56.458 - ---------- run=118, count=142 ----------
15:10:00.641 - ---------- run=119, count=190 ----------
15:10:04.070 - ---------- run=120, count=156 ----------
15:10:07.373 - ---------- run=121, count=151 ----------
15:10:10.806 - ---------- run=122, count=156 ----------
15:10:14.485 - ---------- run=123, count=167 ----------
15:10:18.468 - ---------- run=124, count=181 ----------
15:10:22.640 - ---------- run=125, count=190 ----------
15:10:25.705 - ---------- run=126, count=140 ----------
15:10:29.165 - ---------- run=127, count=157 ----------
15:10:32.822 - ---------- run=128, count=167 ----------
15:10:36.008 - ---------- run=129, count=145 ----------
15:10:39.485 - ---------- run=130, count=158 ----------
15:10:43.044 - ---------- run=131, count=162 ----------
15:10:46.396 - ---------- run=132, count=152 ----------
15:10:50.490 - ---------- run=133, count=186 ----------
15:10:54.246 - ---------- run=134, count=171 ----------
15:10:57.153 - ---------- run=135, count=132 ----------
15:11:00.486 - ---------- run=136, count=151 ----------
15:11:04.134 - ---------- run=137, count=166 ----------
15:11:07.811 - ---------- run=138, count=167 ----------
15:11:11.621 - ---------- run=139, count=173 ----------
15:11:14.814 - ---------- run=140, count=145 ----------
15:11:18.441 - ---------- run=141, count=165 ----------
15:11:22.600 - ---------- run=142, count=189 ----------
15:11:26.218 - ---------- run=143, count=165 ----------
15:11:29.415 - ---------- run=144, count=145 ----------
15:11:32.423 - ---------- run=145, count=136 ----------
15:11:36.437 - ---------- run=146, count=183 ----------
15:11:40.302 - ---------- run=147, count=176 ----------
15:11:43.978 - ---------- run=148, count=167 ----------
15:11:47.214 - ---------- run=149, count=147 ----------
15:11:51.059 - ---------- run=150, count=174 ----------
15:11:53.907 - ---------- run=151, count=130 ----------
15:11:57.060 - ---------- run=152, count=143 ----------
15:12:00.715 - ---------- run=153, count=166 ----------
15:12:03.642 - ---------- run=154, count=133 ----------
15:12:06.643 - ---------- run=155, count=137 ----------
15:12:10.052 - ---------- run=156, count=155 ----------
15:12:14.019 - ---------- run=157, count=180 ----------
15:12:17.433 - ---------- run=158, count=155 ----------
15:12:20.274 - ---------- run=159, count=129 ----------
15:12:23.186 - ---------- run=160, count=133 ----------
15:12:27.019 - ---------- run=161, count=174 ----------
15:12:30.006 - ---------- run=162, count=136 ----------
15:12:33.176 - ---------- run=163, count=144 ----------
15:12:36.666 - ---------- run=164, count=158 ----------
15:12:40.004 - ---------- run=165, count=152 ----------
15:12:43.259 - ---------- run=166, count=148 ----------
15:12:46.942 - ---------- run=167, count=167 ----------
15:12:50.941 - ---------- run=168, count=182 ----------
15:12:54.607 - ---------- run=169, count=167 ----------
15:12:58.622 - ---------- run=170, count=182 ----------
15:13:01.566 - ---------- run=171, count=134 ----------
15:13:05.490 - ---------- run=172, count=178 ----------
15:13:08.908 - ---------- run=173, count=156 ----------
15:13:12.210 - ---------- run=174, count=150 ----------
15:13:15.660 - ---------- run=175, count=156 ----------
15:13:19.792 - ---------- run=176, count=188 ----------
15:13:23.706 - ---------- run=177, count=178 ----------
15:13:27.087 - ---------- run=178, count=153 ----------
15:13:30.155 - ---------- run=179, count=140 ----------
15:13:33.991 - ---------- run=180, count=174 ----------
15:13:37.616 - ---------- run=181, count=165 ----------
15:13:41.504 - ---------- run=182, count=177 ----------
15:13:44.713 - ---------- run=183, count=146 ----------
