05:21:54.195 - ---------- run=0, buffer_size: 50 ----------
05:21:56.186 - ---------- run=1, buffer_size: 52 ----------
05:21:58.596 - ---------- run=2, buffer_size: 52 ----------
05:22:01.145 - ---------- run=3, buffer_size: 53 ----------
05:22:03.440 - ---------- run=4, buffer_size: 53 ----------
05:22:05.597 - ---------- run=5, buffer_size: 52 ----------
05:22:07.924 - ---------- run=6, buffer_size: 52 ----------
05:22:11.833 - xxxxxxxxxx run=7 failed
05:22:14.219 - ---------- run=8, buffer_size: 51 ----------
05:22:16.590 - ---------- run=9, buffer_size: 53 ----------
05:22:19.171 - ---------- run=10, buffer_size: 53 ----------
05:22:21.740 - ---------- run=11, buffer_size: 52 ----------
05:22:25.359 - xxxxxxxxxx run=12 failed
05:22:27.707 - ---------- run=13, buffer_size: 52 ----------
05:22:30.010 - ---------- run=14, buffer_size: 53 ----------
05:22:32.347 - ---------- run=15, buffer_size: 52 ----------
05:22:37.479 - xxxxxxxxxx run=16 failed
05:22:39.893 - ---------- run=17, buffer_size: 52 ----------
05:22:42.208 - ---------- run=18, buffer_size: 55 ----------
05:22:44.725 - ---------- run=19, buffer_size: 54 ----------
05:22:47.004 - ---------- run=20, buffer_size: 52 ----------
05:22:49.292 - ---------- run=21, buffer_size: 53 ----------
05:22:51.731 - ---------- run=22, buffer_size: 53 ----------
05:22:54.009 - ---------- run=23, buffer_size: 54 ----------
05:22:56.280 - ---------- run=24, buffer_size: 52 ----------
05:22:58.535 - ---------- run=25, buffer_size: 52 ----------
05:23:00.955 - ---------- run=26, buffer_size: 51 ----------
05:23:03.220 - ---------- run=27, buffer_size: 54 ----------
05:23:05.992 - ---------- run=28, buffer_size: 53 ----------
05:23:08.154 - ---------- run=29, buffer_size: 52 ----------
05:23:10.527 - ---------- run=30, buffer_size: 54 ----------
05:23:12.980 - ---------- run=31, buffer_size: 52 ----------
05:23:14.949 - ---------- run=32, buffer_size: 52 ----------
05:23:17.033 - ---------- run=33, buffer_size: 53 ----------
05:23:19.340 - ---------- run=34, buffer_size: 51 ----------
05:23:21.704 - ---------- run=35, buffer_size: 53 ----------
05:23:24.044 - ---------- run=36, buffer_size: 54 ----------
05:23:26.206 - ---------- run=37, buffer_size: 52 ----------
05:23:28.835 - ---------- run=38, buffer_size: 53 ----------
05:23:31.204 - ---------- run=39, buffer_size: 52 ----------
05:23:33.501 - ---------- run=40, buffer_size: 53 ----------
05:23:36.270 - ---------- run=41, buffer_size: 55 ----------
05:23:38.593 - ---------- run=42, buffer_size: 52 ----------
05:23:41.195 - ---------- run=43, buffer_size: 53 ----------
05:23:43.271 - ---------- run=44, buffer_size: 53 ----------
05:23:45.499 - ---------- run=45, buffer_size: 52 ----------
05:23:47.878 - ---------- run=46, buffer_size: 52 ----------
05:23:50.146 - ---------- run=47, buffer_size: 52 ----------
05:23:52.608 - ---------- run=48, buffer_size: 55 ----------
05:23:55.066 - ---------- run=49, buffer_size: 53 ----------
05:23:57.497 - ---------- run=50, buffer_size: 53 ----------
05:23:59.897 - ---------- run=51, buffer_size: 53 ----------
05:24:02.601 - ---------- run=52, buffer_size: 53 ----------
05:24:04.996 - ---------- run=53, buffer_size: 55 ----------
05:24:07.366 - ---------- run=54, buffer_size: 52 ----------
05:24:09.642 - ---------- run=55, buffer_size: 54 ----------
05:24:12.093 - ---------- run=56, buffer_size: 52 ----------
05:24:14.376 - ---------- run=57, buffer_size: 53 ----------
05:24:16.829 - ---------- run=58, buffer_size: 56 ----------
05:24:19.052 - ---------- run=59, buffer_size: 53 ----------
05:24:21.594 - ---------- run=60, buffer_size: 52 ----------
05:24:24.110 - ---------- run=61, buffer_size: 52 ----------
05:24:26.770 - ---------- run=62, buffer_size: 53 ----------
05:24:28.941 - ---------- run=63, buffer_size: 52 ----------
05:24:31.440 - ---------- run=64, buffer_size: 54 ----------
05:24:33.666 - ---------- run=65, buffer_size: 53 ----------
05:24:35.915 - ---------- run=66, buffer_size: 54 ----------
05:24:38.347 - ---------- run=67, buffer_size: 52 ----------
05:24:40.465 - ---------- run=68, buffer_size: 53 ----------
05:24:44.927 - xxxxxxxxxx run=69 failed
05:24:47.603 - ---------- run=70, buffer_size: 52 ----------
05:24:50.066 - ---------- run=71, buffer_size: 52 ----------
05:24:52.199 - ---------- run=72, buffer_size: 52 ----------
05:24:55.272 - ---------- run=73, buffer_size: 53 ----------
05:24:57.496 - ---------- run=74, buffer_size: 53 ----------
05:24:59.638 - ---------- run=75, buffer_size: 53 ----------
05:25:03.507 - xxxxxxxxxx run=76 failed
05:25:05.769 - ---------- run=77, buffer_size: 52 ----------
