02:26:10.635 - ---------- run=0, buffer_size: 50 ----------
02:26:13.000 - ---------- run=1, buffer_size: 54 ----------
02:26:15.650 - ---------- run=2, buffer_size: 52 ----------
02:26:17.792 - ---------- run=3, buffer_size: 53 ----------
02:26:19.917 - ---------- run=4, buffer_size: 53 ----------
02:26:22.345 - ---------- run=5, buffer_size: 52 ----------
02:26:24.495 - ---------- run=6, buffer_size: 52 ----------
02:26:26.946 - ---------- run=7, buffer_size: 52 ----------
02:26:29.089 - ---------- run=8, buffer_size: 51 ----------
02:26:31.685 - ---------- run=9, buffer_size: 53 ----------
02:26:33.925 - ---------- run=10, buffer_size: 53 ----------
02:26:36.425 - ---------- run=11, buffer_size: 53 ----------
02:26:38.451 - ---------- run=12, buffer_size: 53 ----------
02:26:41.161 - ---------- run=13, buffer_size: 53 ----------
02:26:43.594 - ---------- run=14, buffer_size: 54 ----------
02:26:45.476 - ---------- run=15, buffer_size: 53 ----------
02:26:48.006 - ---------- run=16, buffer_size: 53 ----------
02:26:50.228 - ---------- run=17, buffer_size: 53 ----------
02:26:52.236 - ---------- run=18, buffer_size: 52 ----------
02:26:54.552 - ---------- run=19, buffer_size: 52 ----------
02:26:57.130 - ---------- run=20, buffer_size: 52 ----------
02:26:59.490 - ---------- run=21, buffer_size: 54 ----------
02:27:01.797 - ---------- run=22, buffer_size: 53 ----------
02:27:04.030 - ---------- run=23, buffer_size: 52 ----------
02:27:06.556 - ---------- run=24, buffer_size: 53 ----------
02:27:08.915 - ---------- run=25, buffer_size: 53 ----------
02:27:11.164 - ---------- run=26, buffer_size: 53 ----------
02:27:13.474 - ---------- run=27, buffer_size: 53 ----------
02:27:15.634 - ---------- run=28, buffer_size: 52 ----------
02:27:17.752 - ---------- run=29, buffer_size: 52 ----------
02:27:20.200 - ---------- run=30, buffer_size: 53 ----------
02:27:39.931 - xxxxxxxxxx run=31 failed
02:27:42.547 - ---------- run=32, buffer_size: 52 ----------
02:27:45.102 - ---------- run=33, buffer_size: 53 ----------
02:27:47.434 - ---------- run=34, buffer_size: 53 ----------
02:27:49.766 - ---------- run=35, buffer_size: 53 ----------
02:27:52.298 - ---------- run=36, buffer_size: 53 ----------
02:27:54.528 - ---------- run=37, buffer_size: 53 ----------
02:27:56.698 - ---------- run=38, buffer_size: 54 ----------
02:27:59.405 - ---------- run=39, buffer_size: 54 ----------
02:28:01.837 - ---------- run=40, buffer_size: 54 ----------
02:28:04.091 - ---------- run=41, buffer_size: 52 ----------
02:28:06.546 - ---------- run=42, buffer_size: 52 ----------
02:28:08.706 - ---------- run=43, buffer_size: 53 ----------
02:28:11.112 - ---------- run=44, buffer_size: 53 ----------
02:28:29.069 - xxxxxxxxxx run=45 failed
02:28:31.743 - ---------- run=46, buffer_size: 54 ----------
02:28:34.293 - ---------- run=47, buffer_size: 53 ----------
02:28:36.597 - ---------- run=48, buffer_size: 52 ----------
02:28:39.013 - ---------- run=49, buffer_size: 52 ----------
02:28:41.208 - ---------- run=50, buffer_size: 52 ----------
02:28:43.519 - ---------- run=51, buffer_size: 52 ----------
02:28:45.902 - ---------- run=52, buffer_size: 52 ----------
02:28:48.003 - ---------- run=53, buffer_size: 52 ----------
02:28:50.391 - ---------- run=54, buffer_size: 53 ----------
02:28:52.951 - ---------- run=55, buffer_size: 53 ----------
02:28:55.444 - ---------- run=56, buffer_size: 52 ----------
02:28:57.934 - ---------- run=57, buffer_size: 52 ----------
02:29:00.203 - ---------- run=58, buffer_size: 53 ----------
02:29:02.358 - ---------- run=59, buffer_size: 53 ----------
02:29:04.870 - ---------- run=60, buffer_size: 53 ----------
02:29:06.811 - ---------- run=61, buffer_size: 53 ----------
02:29:09.144 - ---------- run=62, buffer_size: 53 ----------
02:29:11.582 - ---------- run=63, buffer_size: 53 ----------
02:29:13.650 - ---------- run=64, buffer_size: 52 ----------
02:29:16.239 - ---------- run=65, buffer_size: 53 ----------
02:29:18.642 - ---------- run=66, buffer_size: 52 ----------
02:29:21.327 - ---------- run=67, buffer_size: 54 ----------
02:29:23.515 - ---------- run=68, buffer_size: 53 ----------
02:29:25.745 - ---------- run=69, buffer_size: 53 ----------
02:29:27.844 - ---------- run=70, buffer_size: 53 ----------
02:29:30.272 - ---------- run=71, buffer_size: 53 ----------
02:29:32.374 - ---------- run=72, buffer_size: 53 ----------
02:29:34.624 - ---------- run=73, buffer_size: 52 ----------
02:29:37.003 - ---------- run=74, buffer_size: 52 ----------
02:29:39.158 - ---------- run=75, buffer_size: 52 ----------
02:29:42.053 - ---------- run=76, buffer_size: 54 ----------
02:29:44.255 - ---------- run=77, buffer_size: 52 ----------
02:29:46.517 - ---------- run=78, buffer_size: 52 ----------
02:29:49.004 - ---------- run=79, buffer_size: 53 ----------
02:29:51.338 - ---------- run=80, buffer_size: 52 ----------
02:29:53.956 - ---------- run=81, buffer_size: 52 ----------
02:29:56.236 - ---------- run=82, buffer_size: 53 ----------
02:29:58.205 - ---------- run=83, buffer_size: 55 ----------
02:30:00.953 - ---------- run=84, buffer_size: 55 ----------
02:30:03.356 - ---------- run=85, buffer_size: 53 ----------
02:30:05.688 - ---------- run=86, buffer_size: 53 ----------
02:30:08.169 - ---------- run=87, buffer_size: 53 ----------
02:30:10.371 - ---------- run=88, buffer_size: 53 ----------
02:30:12.627 - ---------- run=89, buffer_size: 53 ----------
02:30:15.335 - ---------- run=90, buffer_size: 54 ----------
02:30:17.586 - ---------- run=91, buffer_size: 52 ----------
02:30:19.843 - ---------- run=92, buffer_size: 54 ----------
02:30:22.409 - ---------- run=93, buffer_size: 53 ----------
02:30:25.199 - ---------- run=94, buffer_size: 54 ----------
02:30:27.127 - ---------- run=95, buffer_size: 52 ----------
02:30:29.392 - ---------- run=96, buffer_size: 53 ----------
02:30:31.726 - ---------- run=97, buffer_size: 54 ----------
02:30:34.203 - ---------- run=98, buffer_size: 53 ----------
02:30:36.421 - ---------- run=99, buffer_size: 52 ----------
02:30:38.668 - ---------- run=100, buffer_size: 52 ----------
02:30:40.872 - ---------- run=101, buffer_size: 52 ----------
02:30:43.126 - ---------- run=102, buffer_size: 52 ----------
02:30:45.613 - ---------- run=103, buffer_size: 52 ----------
02:30:48.091 - ---------- run=104, buffer_size: 54 ----------
02:31:07.219 - xxxxxxxxxx run=105 failed
02:31:09.495 - ---------- run=106, buffer_size: 52 ----------
02:31:11.865 - ---------- run=107, buffer_size: 52 ----------
02:31:13.855 - ---------- run=108, buffer_size: 52 ----------
02:31:16.176 - ---------- run=109, buffer_size: 54 ----------
02:31:18.831 - ---------- run=110, buffer_size: 53 ----------
02:31:21.302 - ---------- run=111, buffer_size: 52 ----------
02:31:23.974 - ---------- run=112, buffer_size: 54 ----------
02:31:26.210 - ---------- run=113, buffer_size: 52 ----------
02:31:28.444 - ---------- run=114, buffer_size: 52 ----------
02:31:31.044 - ---------- run=115, buffer_size: 53 ----------
02:31:33.406 - ---------- run=116, buffer_size: 52 ----------
02:31:35.420 - ---------- run=117, buffer_size: 52 ----------
02:31:38.323 - ---------- run=118, buffer_size: 53 ----------
02:31:40.464 - ---------- run=119, buffer_size: 52 ----------
02:31:42.719 - ---------- run=120, buffer_size: 52 ----------
02:31:44.948 - ---------- run=121, buffer_size: 52 ----------
02:31:47.364 - ---------- run=122, buffer_size: 53 ----------
02:31:50.423 - ---------- run=123, buffer_size: 55 ----------
02:31:52.415 - ---------- run=124, buffer_size: 54 ----------
02:31:54.603 - ---------- run=125, buffer_size: 55 ----------
02:31:56.851 - ---------- run=126, buffer_size: 52 ----------
