00:28:50.340 - ---------- run=0, buffer_size: 50 ----------
00:28:52.803 - ---------- run=1, buffer_size: 55 ----------
00:28:55.384 - ---------- run=2, buffer_size: 55 ----------
00:28:57.827 - ---------- run=3, buffer_size: 55 ----------
00:29:00.491 - ---------- run=4, buffer_size: 52 ----------
00:29:02.837 - ---------- run=5, buffer_size: 53 ----------
00:29:15.289 - xxxxxxxxxx run=6 failed
00:29:17.576 - ---------- run=7, buffer_size: 54 ----------
00:29:19.461 - ---------- run=8, buffer_size: 54 ----------
00:29:21.641 - ---------- run=9, buffer_size: 56 ----------
00:29:24.312 - ---------- run=10, buffer_size: 53 ----------
00:29:27.018 - ---------- run=11, buffer_size: 55 ----------
00:29:29.062 - ---------- run=12, buffer_size: 53 ----------
00:29:31.306 - ---------- run=13, buffer_size: 54 ----------
00:29:34.135 - ---------- run=14, buffer_size: 56 ----------
00:29:36.398 - ---------- run=15, buffer_size: 53 ----------
00:29:38.743 - ---------- run=16, buffer_size: 55 ----------
00:29:40.899 - ---------- run=17, buffer_size: 53 ----------
00:29:43.293 - ---------- run=18, buffer_size: 53 ----------
00:29:45.619 - ---------- run=19, buffer_size: 53 ----------
00:29:47.820 - ---------- run=20, buffer_size: 53 ----------
00:29:50.168 - ---------- run=21, buffer_size: 52 ----------
00:29:52.785 - ---------- run=22, buffer_size: 53 ----------
00:29:54.728 - ---------- run=23, buffer_size: 52 ----------
00:29:57.174 - ---------- run=24, buffer_size: 54 ----------
00:29:59.341 - ---------- run=25, buffer_size: 53 ----------
00:30:04.021 - ---------- run=26, buffer_size: 54 ----------
00:30:06.607 - ---------- run=27, buffer_size: 53 ----------
00:30:09.137 - ---------- run=28, buffer_size: 52 ----------
00:30:11.939 - ---------- run=29, buffer_size: 53 ----------
00:30:14.146 - ---------- run=30, buffer_size: 53 ----------
00:30:16.764 - ---------- run=31, buffer_size: 56 ----------
00:30:29.015 - xxxxxxxxxx run=32 failed
00:30:41.148 - xxxxxxxxxx run=33 failed
00:30:43.954 - ---------- run=34, buffer_size: 55 ----------
00:30:57.225 - xxxxxxxxxx run=35 failed
00:30:59.557 - ---------- run=36, buffer_size: 53 ----------
00:31:01.973 - ---------- run=37, buffer_size: 55 ----------
00:31:04.154 - ---------- run=38, buffer_size: 52 ----------
00:31:06.645 - ---------- run=39, buffer_size: 53 ----------
00:31:08.876 - ---------- run=40, buffer_size: 53 ----------
00:31:21.279 - xxxxxxxxxx run=41 failed
00:31:23.706 - ---------- run=42, buffer_size: 53 ----------
00:31:25.903 - ---------- run=43, buffer_size: 52 ----------
00:31:28.601 - ---------- run=44, buffer_size: 53 ----------
00:31:30.870 - ---------- run=45, buffer_size: 54 ----------
00:31:33.255 - ---------- run=46, buffer_size: 53 ----------
00:31:35.627 - ---------- run=47, buffer_size: 53 ----------
00:31:38.202 - ---------- run=48, buffer_size: 54 ----------
00:31:40.603 - ---------- run=49, buffer_size: 54 ----------
00:31:43.374 - ---------- run=50, buffer_size: 54 ----------
00:31:46.058 - ---------- run=51, buffer_size: 55 ----------
00:31:48.795 - ---------- run=52, buffer_size: 54 ----------
00:31:51.389 - ---------- run=53, buffer_size: 54 ----------
00:31:54.180 - ---------- run=54, buffer_size: 52 ----------
00:31:56.671 - ---------- run=55, buffer_size: 55 ----------
00:31:58.868 - ---------- run=56, buffer_size: 52 ----------
00:32:01.100 - ---------- run=57, buffer_size: 54 ----------
00:32:03.715 - ---------- run=58, buffer_size: 54 ----------
00:32:05.959 - ---------- run=59, buffer_size: 55 ----------
00:32:08.366 - ---------- run=60, buffer_size: 57 ----------
00:32:10.657 - ---------- run=61, buffer_size: 54 ----------
00:32:12.950 - ---------- run=62, buffer_size: 54 ----------
00:32:15.226 - ---------- run=63, buffer_size: 53 ----------
00:32:17.613 - ---------- run=64, buffer_size: 55 ----------
00:32:19.937 - ---------- run=65, buffer_size: 56 ----------
00:32:32.178 - xxxxxxxxxx run=66 failed
00:32:34.703 - ---------- run=67, buffer_size: 53 ----------
00:32:37.349 - ---------- run=68, buffer_size: 53 ----------
00:32:39.704 - ---------- run=69, buffer_size: 53 ----------
00:32:41.816 - ---------- run=70, buffer_size: 52 ----------
00:32:44.517 - ---------- run=71, buffer_size: 54 ----------
00:32:47.238 - ---------- run=72, buffer_size: 56 ----------
00:32:49.663 - ---------- run=73, buffer_size: 53 ----------
00:32:52.316 - ---------- run=74, buffer_size: 53 ----------
00:32:54.566 - ---------- run=75, buffer_size: 54 ----------
00:32:56.928 - ---------- run=76, buffer_size: 54 ----------
00:32:59.269 - ---------- run=77, buffer_size: 55 ----------
00:33:01.582 - ---------- run=78, buffer_size: 53 ----------
00:33:04.078 - ---------- run=79, buffer_size: 54 ----------
00:33:06.432 - ---------- run=80, buffer_size: 53 ----------
00:33:08.531 - ---------- run=81, buffer_size: 53 ----------
00:33:10.672 - ---------- run=82, buffer_size: 53 ----------
00:33:23.476 - xxxxxxxxxx run=83 failed
00:33:25.988 - ---------- run=84, buffer_size: 53 ----------
00:33:28.770 - ---------- run=85, buffer_size: 52 ----------
00:33:31.084 - ---------- run=86, buffer_size: 53 ----------
00:33:33.317 - ---------- run=87, buffer_size: 53 ----------
00:33:35.739 - ---------- run=88, buffer_size: 52 ----------
00:33:37.979 - ---------- run=89, buffer_size: 56 ----------
00:33:40.315 - ---------- run=90, buffer_size: 54 ----------
00:33:42.605 - ---------- run=91, buffer_size: 53 ----------
00:33:44.974 - ---------- run=92, buffer_size: 53 ----------
00:33:47.031 - ---------- run=93, buffer_size: 54 ----------
00:33:49.181 - ---------- run=94, buffer_size: 53 ----------
00:33:51.564 - ---------- run=95, buffer_size: 54 ----------
00:33:54.400 - ---------- run=96, buffer_size: 53 ----------
00:33:57.111 - ---------- run=97, buffer_size: 53 ----------
00:33:59.239 - ---------- run=98, buffer_size: 54 ----------
00:34:01.673 - ---------- run=99, buffer_size: 54 ----------
00:34:04.050 - ---------- run=100, buffer_size: 53 ----------
