04:19:05.903 - ---------- run=0, buffer_size: 50 ----------
04:19:08.551 - ---------- run=1, buffer_size: 52 ----------
04:19:11.042 - ---------- run=2, buffer_size: 53 ----------
04:19:13.006 - ---------- run=3, buffer_size: 53 ----------
04:19:15.350 - ---------- run=4, buffer_size: 51 ----------
04:19:18.141 - ---------- run=5, buffer_size: 52 ----------
04:19:20.916 - ---------- run=6, buffer_size: 57 ----------
04:19:23.233 - ---------- run=7, buffer_size: 52 ----------
04:19:25.541 - ---------- run=8, buffer_size: 53 ----------
04:19:27.815 - ---------- run=9, buffer_size: 53 ----------
04:19:30.042 - ---------- run=10, buffer_size: 53 ----------
04:19:32.878 - ---------- run=11, buffer_size: 52 ----------
04:19:35.508 - ---------- run=12, buffer_size: 52 ----------
04:19:38.015 - ---------- run=13, buffer_size: 54 ----------
04:19:40.221 - ---------- run=14, buffer_size: 52 ----------
04:19:42.341 - ---------- run=15, buffer_size: 52 ----------
04:19:45.007 - ---------- run=16, buffer_size: 54 ----------
04:19:47.351 - ---------- run=17, buffer_size: 53 ----------
04:19:49.809 - ---------- run=18, buffer_size: 53 ----------
04:19:52.291 - ---------- run=19, buffer_size: 53 ----------
04:19:54.377 - ---------- run=20, buffer_size: 52 ----------
04:19:56.643 - ---------- run=21, buffer_size: 53 ----------
04:19:58.550 - ---------- run=22, buffer_size: 52 ----------
04:20:00.878 - ---------- run=23, buffer_size: 53 ----------
04:20:03.645 - ---------- run=24, buffer_size: 58 ----------
04:20:06.269 - ---------- run=25, buffer_size: 52 ----------
04:20:08.391 - ---------- run=26, buffer_size: 52 ----------
04:20:11.086 - ---------- run=27, buffer_size: 52 ----------
04:20:13.301 - ---------- run=28, buffer_size: 53 ----------
04:20:15.376 - ---------- run=29, buffer_size: 52 ----------
04:20:18.056 - ---------- run=30, buffer_size: 53 ----------
04:20:20.443 - ---------- run=31, buffer_size: 53 ----------
04:20:23.084 - ---------- run=32, buffer_size: 54 ----------
04:20:25.771 - ---------- run=33, buffer_size: 54 ----------
04:20:28.387 - ---------- run=34, buffer_size: 52 ----------
04:20:30.939 - ---------- run=35, buffer_size: 52 ----------
04:20:33.306 - ---------- run=36, buffer_size: 53 ----------
04:20:35.695 - ---------- run=37, buffer_size: 53 ----------
04:20:37.927 - ---------- run=38, buffer_size: 54 ----------
04:20:40.787 - ---------- run=39, buffer_size: 52 ----------
04:20:43.166 - ---------- run=40, buffer_size: 52 ----------
04:20:45.602 - ---------- run=41, buffer_size: 52 ----------
04:20:48.399 - ---------- run=42, buffer_size: 55 ----------
04:20:50.937 - ---------- run=43, buffer_size: 52 ----------
04:20:53.332 - ---------- run=44, buffer_size: 53 ----------
04:20:55.831 - ---------- run=45, buffer_size: 55 ----------
04:20:58.237 - ---------- run=46, buffer_size: 53 ----------
04:21:00.751 - ---------- run=47, buffer_size: 52 ----------
04:21:03.105 - ---------- run=48, buffer_size: 54 ----------
04:21:05.439 - ---------- run=49, buffer_size: 53 ----------
04:21:07.996 - ---------- run=50, buffer_size: 53 ----------
04:21:10.752 - ---------- run=51, buffer_size: 52 ----------
04:21:13.013 - ---------- run=52, buffer_size: 54 ----------
04:21:15.269 - ---------- run=53, buffer_size: 52 ----------
04:21:17.501 - ---------- run=54, buffer_size: 51 ----------
04:21:19.432 - ---------- run=55, buffer_size: 52 ----------
04:21:22.191 - ---------- run=56, buffer_size: 53 ----------
04:21:24.428 - ---------- run=57, buffer_size: 51 ----------
04:21:26.549 - ---------- run=58, buffer_size: 53 ----------
