23:27:25.246 - ---------- run=0, buffer_size: 50 ----------
23:27:27.740 - ---------- run=1, buffer_size: 53 ----------
23:27:30.089 - ---------- run=2, buffer_size: 53 ----------
23:27:32.401 - ---------- run=3, buffer_size: 54 ----------
23:27:34.917 - ---------- run=4, buffer_size: 54 ----------
23:27:37.307 - ---------- run=5, buffer_size: 52 ----------
23:27:40.075 - ---------- run=6, buffer_size: 52 ----------
23:27:42.223 - ---------- run=7, buffer_size: 55 ----------
23:27:45.118 - ---------- run=8, buffer_size: 52 ----------
23:27:47.110 - ---------- run=9, buffer_size: 52 ----------
23:27:49.268 - ---------- run=10, buffer_size: 52 ----------
23:27:51.391 - ---------- run=11, buffer_size: 53 ----------
23:27:53.641 - ---------- run=12, buffer_size: 52 ----------
23:27:56.347 - ---------- run=13, buffer_size: 52 ----------
23:27:58.824 - ---------- run=14, buffer_size: 52 ----------
23:28:00.908 - ---------- run=15, buffer_size: 53 ----------
23:28:03.260 - ---------- run=16, buffer_size: 52 ----------
23:28:05.493 - ---------- run=17, buffer_size: 52 ----------
23:28:07.864 - ---------- run=18, buffer_size: 52 ----------
23:28:10.500 - ---------- run=19, buffer_size: 54 ----------
23:28:12.798 - ---------- run=20, buffer_size: 52 ----------
23:28:15.074 - ---------- run=21, buffer_size: 52 ----------
23:28:17.380 - ---------- run=22, buffer_size: 53 ----------
23:28:20.060 - ---------- run=23, buffer_size: 56 ----------
23:28:22.762 - ---------- run=24, buffer_size: 53 ----------
23:28:25.167 - ---------- run=25, buffer_size: 54 ----------
23:28:27.246 - ---------- run=26, buffer_size: 54 ----------
23:28:29.548 - ---------- run=27, buffer_size: 56 ----------
23:28:31.776 - ---------- run=28, buffer_size: 51 ----------
23:28:34.480 - ---------- run=29, buffer_size: 54 ----------
23:28:36.643 - ---------- run=30, buffer_size: 53 ----------
23:28:38.929 - ---------- run=31, buffer_size: 52 ----------
23:28:41.578 - ---------- run=32, buffer_size: 56 ----------
23:28:43.780 - ---------- run=33, buffer_size: 55 ----------
23:28:46.168 - ---------- run=34, buffer_size: 52 ----------
23:28:48.578 - ---------- run=35, buffer_size: 58 ----------
23:28:50.877 - ---------- run=36, buffer_size: 52 ----------
23:28:53.253 - ---------- run=37, buffer_size: 52 ----------
23:28:55.426 - ---------- run=38, buffer_size: 52 ----------
23:28:57.712 - ---------- run=39, buffer_size: 53 ----------
23:29:00.445 - ---------- run=40, buffer_size: 56 ----------
23:29:02.802 - ---------- run=41, buffer_size: 52 ----------
23:29:05.081 - ---------- run=42, buffer_size: 53 ----------
23:29:07.274 - ---------- run=43, buffer_size: 52 ----------
23:29:09.513 - ---------- run=44, buffer_size: 53 ----------
23:29:11.785 - ---------- run=45, buffer_size: 53 ----------
23:29:13.856 - ---------- run=46, buffer_size: 52 ----------
23:29:16.083 - ---------- run=47, buffer_size: 53 ----------
23:29:18.595 - ---------- run=48, buffer_size: 57 ----------
23:29:20.754 - ---------- run=49, buffer_size: 53 ----------
23:29:22.954 - ---------- run=50, buffer_size: 54 ----------
23:29:25.246 - ---------- run=51, buffer_size: 53 ----------
23:29:27.873 - ---------- run=52, buffer_size: 52 ----------
23:29:30.440 - ---------- run=53, buffer_size: 54 ----------
23:29:33.032 - ---------- run=54, buffer_size: 55 ----------
23:29:35.137 - ---------- run=55, buffer_size: 53 ----------
23:29:37.593 - ---------- run=56, buffer_size: 54 ----------
23:29:40.042 - ---------- run=57, buffer_size: 52 ----------
23:29:42.250 - ---------- run=58, buffer_size: 54 ----------
23:29:44.841 - ---------- run=59, buffer_size: 54 ----------
23:29:47.072 - ---------- run=60, buffer_size: 52 ----------
