21:34:51.643 - ---------- run=0, buffer_size: 50 ----------
21:34:53.893 - ---------- run=1, buffer_size: 54 ----------
21:34:56.359 - ---------- run=2, buffer_size: 56 ----------
21:34:58.723 - ---------- run=3, buffer_size: 55 ----------
21:35:01.366 - ---------- run=4, buffer_size: 54 ----------
21:35:03.717 - ---------- run=5, buffer_size: 53 ----------
21:35:06.053 - ---------- run=6, buffer_size: 54 ----------
21:35:08.431 - ---------- run=7, buffer_size: 53 ----------
21:35:10.637 - ---------- run=8, buffer_size: 54 ----------
21:35:13.124 - ---------- run=9, buffer_size: 54 ----------
21:35:15.388 - ---------- run=10, buffer_size: 55 ----------
21:35:17.886 - ---------- run=11, buffer_size: 54 ----------
21:35:20.385 - ---------- run=12, buffer_size: 54 ----------
21:35:22.867 - ---------- run=13, buffer_size: 55 ----------
21:35:25.549 - ---------- run=14, buffer_size: 54 ----------
21:35:27.840 - ---------- run=15, buffer_size: 54 ----------
21:35:29.717 - ---------- run=16, buffer_size: 53 ----------
21:35:32.336 - ---------- run=17, buffer_size: 55 ----------
21:35:34.534 - ---------- run=18, buffer_size: 53 ----------
21:35:36.629 - ---------- run=19, buffer_size: 53 ----------
21:35:38.696 - ---------- run=20, buffer_size: 55 ----------
21:35:41.240 - ---------- run=21, buffer_size: 53 ----------
21:35:43.595 - ---------- run=22, buffer_size: 55 ----------
21:35:46.055 - ---------- run=23, buffer_size: 55 ----------
21:35:48.711 - ---------- run=24, buffer_size: 54 ----------
21:35:51.432 - ---------- run=25, buffer_size: 54 ----------
21:35:53.632 - ---------- run=26, buffer_size: 52 ----------
21:35:55.959 - ---------- run=27, buffer_size: 55 ----------
21:35:58.414 - ---------- run=28, buffer_size: 54 ----------
21:36:00.634 - ---------- run=29, buffer_size: 53 ----------
21:36:03.386 - ---------- run=30, buffer_size: 54 ----------
21:36:05.694 - ---------- run=31, buffer_size: 54 ----------
21:36:08.247 - ---------- run=32, buffer_size: 54 ----------
21:36:10.735 - ---------- run=33, buffer_size: 55 ----------
21:36:13.259 - ---------- run=34, buffer_size: 55 ----------
21:36:16.037 - ---------- run=35, buffer_size: 54 ----------
21:36:18.271 - ---------- run=36, buffer_size: 53 ----------
21:36:20.652 - ---------- run=37, buffer_size: 54 ----------
21:36:22.674 - ---------- run=38, buffer_size: 54 ----------
21:36:25.559 - ---------- run=39, buffer_size: 56 ----------
21:36:27.923 - ---------- run=40, buffer_size: 53 ----------
