,0,1,2,3,4,5,6,7,8,9,10,11,node_type,compromised,keys
0,0,0,0,0,1,0,1,1,1,0,1,1,destination,False,
1,0,0,0,1,0,0,0,0,1,0,1,1,intermediate,False,
2,0,0,0,0,1,0,0,1,0,0,0,0,source,False,
3,0,1,0,0,1,1,0,0,0,0,0,0,intermediate,False,
4,1,0,1,1,0,1,1,0,0,0,0,0,intermediate,False,
5,0,0,0,1,1,0,1,1,0,0,1,0,intermediate,False,
6,1,0,0,0,1,1,0,0,1,0,0,0,intermediate,False,
7,1,0,1,0,0,1,0,0,1,1,0,0,intermediate,False,
8,1,1,0,0,0,0,1,1,0,0,0,0,intermediate,False,
9,0,0,0,0,0,0,0,1,0,0,1,1,intermediate,False,
10,1,1,0,0,0,1,0,0,0,1,0,0,intermediate,False,
11,1,1,0,0,0,0,0,0,0,1,0,0,intermediate,False,
