compromised_nodes,is_success,count_checks,avg_keyset_size,keypool_size
[7],0,6,1,3
[8],0,2,1,3
[6],0,3,1,3
[2],0,1,1,3
[1],0,7,1,3
[2],1,1,1,3
[7],0,6,1,3
[4],0,4,1,3
[6],0,3,1,3
[5],0,5,1,3
[6],0,3,1,3
[5],0,5,1,3
[8],0,2,1,3
[0],0,8,1,3
[2],1,1,1,3
[8],0,2,1,3
[1],0,7,1,3
[2],0,1,1,3
[8],0,2,1,3
[5],0,5,1,3
[6],0,3,1,3
[0],0,8,1,3
[0],0,8,1,3
[1],0,7,1,3
[8],0,2,1,3
[4],0,4,1,3
[1],0,7,1,3
[8],0,2,1,3
[6],0,3,1,3
[0],0,8,1,3
[2],0,1,1,3
[7],0,6,1,3
[8],0,2,1,3
[7],0,6,1,3
[4],0,4,1,3
[1],0,7,1,3
[1],0,7,1,3
[7],0,6,1,3
[2],0,1,1,3
[0],0,8,1,3
[5],0,5,1,3
[6],0,3,1,3
[6],0,3,1,3
[6],0,3,1,3
[1],0,7,1,3
[6],0,3,1,3
[0],0,8,1,3
[2],0,1,1,3
[2],0,1,1,3
[2],0,1,1,3
[1],0,7,1,3
[0],0,8,1,3
[5],0,5,1,3
[4],0,4,1,3
[7],0,6,1,3
[4],0,4,1,3
[6],0,3,1,3
[5],0,5,1,3
[7],0,6,1,3
[8],1,2,1,3
[7],0,6,1,3
[7],0,6,1,3
[8],0,2,1,3
[5],0,5,1,3
[6],0,3,1,3
[0],0,8,1,3
[0],0,8,1,3
[2],0,1,1,3
[5],0,5,1,3
[7],0,6,1,3
[0],0,8,1,3
[0],0,8,1,3
[1],0,7,1,3
[6],0,3,1,3
[5],0,5,1,3
[8],0,2,1,3
[1],0,7,1,3
[1],0,7,1,3
[6],0,3,1,3
[6],0,3,1,3
[5],0,5,1,3
[8],0,2,1,3
[6],0,3,1,3
[2],0,1,1,3
[2],1,1,1,3
[7],0,6,1,3
[5],0,5,1,3
[0],0,8,1,3
[8],0,2,1,3
[4],0,4,1,3
[2],1,1,1,3
[6],0,3,1,3
[6],0,3,1,3
[6],0,3,1,3
[0],0,8,1,3
[2],0,1,1,3
[5],0,5,1,3
[2],0,1,1,3
[0],0,8,1,3
[4],0,4,1,3
[8],0,2,1,3
[2],0,1,1,3
[6],0,3,1,3
[4],0,4,1,3
[0],0,8,1,3
[7],0,6,1,3
[6],1,3,1,3
[8],0,2,1,3
[1],0,7,1,3
[8],0,2,1,3
[5],0,5,1,3
[1],0,7,1,3
[5],0,5,1,3
[6],0,3,1,3
[4],0,4,1,3
[4],0,4,1,3
[0],0,8,1,3
[4],0,4,1,3
[6],0,3,1,3
[6],0,3,1,3
[7],0,6,1,3
[4],0,4,1,3
[8],0,2,1,3
[4],0,4,1,3
[8],0,2,1,3
[4],0,4,1,3
[8],0,2,1,3
[5],0,5,1,3
[6],0,3,1,3
[8],0,2,1,3
[6],0,3,1,3
[8],0,2,1,3
[7],0,6,1,3
[6],0,3,1,3
[7],0,6,1,3
[5],0,5,1,3
[1],0,7,1,3
[2],0,1,1,3
[2],0,1,1,3
[0],0,8,1,3
[5],0,5,1,3
[0],0,8,1,3
[7],0,6,1,3
[8],0,2,1,3
[7],0,6,1,3
[8],0,2,1,3
[2],0,1,1,3
[0],0,8,1,3
[7],0,6,1,3
[6],0,3,1,3
[6],0,3,1,3
[4],0,4,1,3
[6],0,3,1,3
[6],0,3,1,3
[1],0,7,1,3
[7],0,6,1,3
[4],0,4,1,3
[5],0,5,1,3
[2],0,1,1,3
[8],0,2,1,3
[4],0,4,1,3
[1],0,7,1,3
[0],0,8,1,3
[6],0,3,1,3
[5],0,5,1,3
[5],0,5,1,3
[5],0,5,1,3
[2],0,1,1,3
[1],0,7,1,3
[6],0,3,1,3
[0],0,8,1,3
[6],0,3,1,3
[8],0,2,1,3
[4],0,4,1,3
[6],0,3,1,3
[5],0,5,1,3
[8],0,2,1,3
[4],0,4,1,3
[1],0,7,1,3
[4],0,4,1,3
[1],0,7,1,3
[7],0,6,1,3
[1],0,7,1,3
[1],0,7,1,3
[5],0,5,1,3
[0],0,8,1,3
[7],0,6,1,3
[0],0,8,1,3
[7],0,6,1,3
[5],0,5,1,3
[6],0,3,1,3
[7],0,6,1,3
[1],0,7,1,3
[4],0,4,1,3
[0],0,8,1,3
[8],0,2,1,3
[0],0,8,1,3
[1],0,7,1,3
[0],0,8,1,3
[4],0,4,1,3
[6],0,3,1,3
[5],0,5,1,3
[1],0,7,1,3
[1],0,7,1,3
[4],0,4,1,3
[7],0,6,1,3
[5],0,5,1,3
[5],0,5,1,3
[1],0,7,1,3
[0],0,8,1,3
[0],0,8,1,3
[2],0,1,1,3
[2],1,1,1,3
[8],0,2,1,3
[7],0,6,1,3
[5],0,5,1,3
[6],0,3,1,3
[8],1,2,1,3
[2],0,1,1,3
[6],0,3,1,3
[2],0,1,1,3
[2],0,1,1,3
[7],0,6,1,3
[1],0,7,1,3
[6],0,3,1,3
[6],0,3,1,3
[0],0,8,1,3
[1],0,7,1,3
[2],0,1,1,3
[8],0,2,1,3
[5],0,5,1,3
[4],0,4,1,3
[8],0,2,1,3
[6],0,3,1,3
[0],0,8,1,3
[0],0,8,1,3
[7],0,6,1,3
[5],0,5,1,3
[2],0,1,1,3
[4],0,4,1,3
[6],0,3,1,3
[8],0,2,1,3
[0],0,8,1,3
[2],0,1,1,3
[0],0,8,1,3
[0],0,8,1,3
